Origen;Destino;Ruta;TiempoViaje;Hora;DíaSemana;Pasajeros;Retraso
Centro;Terminal Andrés Sanín;E21;10;3:45:00 p. m.;Martes;22;2
Centro;San Bosco;T50;7;4:45:00 p. m.;Miércoles;44;2
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;20;5:00:00 a. m.;Miércoles;54;5
San Fernando;Capri;T31;8;11:15:00 a. m.;Miércoles;56;2
Estadio;San Bosco;T50;8;5:45:00 a. m.;Martes;24;2
Universidades;San Fernando;T47A;5;7:00:00 p. m.;Jueves;38;0
Universidades;Meléndez;P21A;4;2:45:00 p. m.;Sábado;75;0
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;18;8:15:00 p. m.;Viernes;91;3
Unidad Deportiva;Meléndez;P21A;8;9:45:00 p. m.;Martes;74;3
San Fernando;Capri;T31;10;4:30:00 p. m.;Jueves;98;4
Centro;Capri;T31;10;1:00:00 p. m.;Viernes;43;0
San Fernando;Estadio;T47A;7;11:15:00 a. m.;Jueves;71;0
Capri;Centro;T31;11;5:00:00 p. m.;Miércoles;15;1
San Bosco;Estadio;T50;9;10:30:00 a. m.;Miércoles;21;3
Estadio;Capri;T31;5;4:30:00 p. m.;Miércoles;30;1
Capri;San Fernando;T31;6;8:30:00 p. m.;Martes;60;0
Estadio;San Fernando;T47A;10;8:45:00 a. m.;Sábado;73;3
Centro;San Bosco;T50;6;6:30:00 a. m.;Martes;66;1
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;19;12:45:00 p. m.;Miércoles;67;4
Meléndez;Unidad Deportiva;P21A;10;7:15:00 p. m.;Lunes;35;5
Centro;Capri;T31;10;12:00:00 p. m.;Martes;57;0
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;18;6:30:00 a. m.;Jueves;100;3
Estadio;San Fernando;T47A;8;8:15:00 p. m.;Viernes;26;1
San Fernando;Universidades;T47A;10;2:30:00 p. m.;Sábado;24;5
Capri;Estadio;T31;6;7:30:00 a. m.;Miércoles;21;2
Centro;San Bosco;T50;6;1:45:00 p. m.;Viernes;80;1
Centro;Capri;T31;15;11:00:00 a. m.;Domingo;75;5
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;16;9:30:00 p. m.;Martes;96;1
Meléndez;Unidad Deportiva;P21A;6;9:45:00 a. m.;Lunes;22;1
Centro;San Bosco;T50;5;2:45:00 p. m.;Sábado;43;0
San Bosco;Centro;T50;10;10:00:00 a. m.;Jueves;57;5
Meléndez;Universidades;P21A;4;5:30:00 a. m.;Viernes;19;0
Universidades;San Fernando;T47A;7;10:45:00 p. m.;Jueves;98;2
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;18;10:15:00 a. m.;Viernes;48;3
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;20;7:15:00 a. m.;Sábado;19;5
San Bosco;Centro;T50;7;9:45:00 p. m.;Jueves;54;2
Estadio;Capri;T31;9;8:15:00 p. m.;Domingo;66;5
San Fernando;Universidades;T47A;5;6:45:00 a. m.;Miércoles;90;0
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;19;5:15:00 a. m.;Martes;19;4
Estadio;San Bosco;T50;8;5:00:00 p. m.;Lunes;15;2
Terminal Andrés Sanín;Centro;E21;9;5:15:00 a. m.;Jueves;68;1
Meléndez;Unidad Deportiva;P21A;5;9:15:00 a. m.;Miércoles;92;0
Meléndez;Universidades;P21A;7;7:00:00 p. m.;Jueves;39;3
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;19;11:30:00 a. m.;Lunes;14;4
Meléndez;Unidad Deportiva;P21A;7;8:45:00 p. m.;Sábado;43;2
Meléndez;Universidades;P21A;8;5:45:00 a. m.;Sábado;54;4
Meléndez;Unidad Deportiva;P21A;7;8:15:00 p. m.;Domingo;59;2
Universidades;Meléndez;P21A;6;11:45:00 a. m.;Domingo;44;2
Estadio;San Fernando;T47A;8;5:30:00 p. m.;Viernes;86;1
San Bosco;Estadio;T50;7;1:30:00 p. m.;Domingo;57;1
Capri;Centro;T31;14;10:45:00 a. m.;Sábado;69;4
Capri;San Fernando;T31;6;2:00:00 p. m.;Viernes;11;0
Capri;Estadio;T31;5;5:30:00 p. m.;Viernes;69;1
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;20;7:00:00 a. m.;Sábado;42;5
Unidad Deportiva;Meléndez;P21A;7;11:30:00 a. m.;Sábado;100;2
Centro;Capri;T31;12;9:45:00 a. m.;Viernes;78;2
Meléndez;Universidades;P21A;4;2:30:00 p. m.;Viernes;81;0
Estadio;Capri;T31;7;4:45:00 p. m.;Martes;25;3
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;19;3:00:00 p. m.;Lunes;54;4
Universidades;San Fernando;T47A;5;2:30:00 p. m.;Lunes;96;0
Unidad Deportiva;Meléndez;P21A;6;12:15:00 p. m.;Lunes;47;1
Centro;Terminal Andrés Sanín;E21;8;9:15:00 p. m.;Miércoles;33;0
Centro;San Bosco;T50;7;6:00:00 a. m.;Sábado;52;2
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;17;2:30:00 p. m.;Miércoles;57;2
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;17;1:00:00 p. m.;Miércoles;37;2
Estadio;San Fernando;T47A;10;5:15:00 p. m.;Miércoles;38;3
Meléndez;Universidades;P21A;9;10:45:00 p. m.;Sábado;98;5
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;15;8:15:00 p. m.;Martes;25;0
Capri;Centro;T31;10;9:00:00 a. m.;Sábado;39;0
San Fernando;Universidades;T47A;6;1:00:00 p. m.;Miércoles;37;1
San Fernando;Universidades;T47A;9;7:15:00 a. m.;Lunes;53;4
San Fernando;Estadio;T47A;10;10:45:00 a. m.;Miércoles;95;3
San Fernando;Universidades;T47A;9;6:45:00 p. m.;Jueves;19;4
Centro;San Bosco;T50;6;5:15:00 a. m.;Martes;99;1
Unidad Deportiva;Meléndez;P21A;8;6:30:00 p. m.;Domingo;78;3
Estadio;San Bosco;T50;11;10:15:00 a. m.;Jueves;65;5
Estadio;San Fernando;T47A;8;3:15:00 p. m.;Viernes;56;1
Estadio;San Fernando;T47A;8;4:30:00 p. m.;Viernes;26;1
Centro;San Bosco;T50;10;9:00:00 a. m.;Viernes;78;5
Capri;Estadio;T31;6;1:30:00 p. m.;Domingo;100;2
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;18;8:15:00 p. m.;Lunes;22;3
Capri;Estadio;T31;4;9:45:00 a. m.;Jueves;91;0
San Bosco;Centro;T50;5;11:00:00 a. m.;Viernes;86;0
San Bosco;Estadio;T50;8;8:00:00 a. m.;Domingo;71;2
Centro;Capri;T31;14;5:45:00 a. m.;Lunes;96;4
San Bosco;Estadio;T50;10;7:00:00 p. m.;Viernes;55;4
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;15;10:30:00 p. m.;Viernes;52;0
Capri;Estadio;T31;4;3:15:00 p. m.;Lunes;40;0
Capri;Centro;T31;13;5:15:00 p. m.;Martes;56;3
Unidad Deportiva;Meléndez;P21A;8;10:45:00 p. m.;Miércoles;42;3
San Fernando;Estadio;T47A;12;1:15:00 p. m.;Sábado;92;5
Meléndez;Unidad Deportiva;P21A;5;10:45:00 a. m.;Miércoles;93;0
Estadio;San Fernando;T47A;10;7:00:00 p. m.;Viernes;52;3
Estadio;Capri;T31;9;1:45:00 p. m.;Domingo;11;5
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;18;2:45:00 p. m.;Lunes;17;3
Estadio;San Fernando;T47A;11;7:15:00 a. m.;Martes;29;4
Centro;Capri;T31;15;8:15:00 p. m.;Domingo;11;5
Universidades;San Fernando;T47A;10;10:45:00 a. m.;Martes;12;5
San Fernando;Universidades;T47A;7;7:00:00 p. m.;Domingo;94;2
San Fernando;Estadio;T47A;7;9:15:00 a. m.;Viernes;71;0
Estadio;Capri;T31;5;10:30:00 p. m.;Sábado;88;1
Terminal Andrés Sanín;Centro;E21;9;10:30:00 a. m.;Martes;25;1
Universidades;Meléndez;P21A;7;12:00:00 p. m.;Sábado;63;3
Centro;Terminal Andrés Sanín;E21;8;5:00:00 a. m.;Sábado;61;0
Meléndez;Universidades;P21A;5;1:45:00 p. m.;Miércoles;56;1
Universidades;San Fernando;T47A;6;8:00:00 p. m.;Jueves;79;1
Capri;Estadio;T31;5;7:00:00 p. m.;Miércoles;64;1
San Bosco;Estadio;T50;11;10:30:00 p. m.;Miércoles;47;5
Capri;Estadio;T31;7;8:15:00 a. m.;Miércoles;94;3
San Fernando;Universidades;T47A;10;6:30:00 p. m.;Lunes;24;5
Capri;Estadio;T31;7;9:30:00 p. m.;Domingo;71;3
Universidades;Meléndez;P21A;9;6:45:00 a. m.;Domingo;16;5
Estadio;San Fernando;T47A;8;11:45:00 a. m.;Viernes;52;1
San Fernando;Universidades;T47A;7;9:15:00 a. m.;Viernes;64;2
Universidades;Meléndez;P21A;4;4:00:00 p. m.;Martes;17;0
Estadio;Capri;T31;6;2:00:00 p. m.;Viernes;98;2
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;16;12:30:00 p. m.;Jueves;90;1
Terminal Andrés Sanín;Centro;E21;10;8:30:00 a. m.;Viernes;43;2
Universidades;Meléndez;P21A;7;5:00:00 p. m.;Sábado;36;3
Estadio;San Fernando;T47A;7;1:45:00 p. m.;Lunes;39;0
Meléndez;Universidades;P21A;9;8:15:00 p. m.;Miércoles;14;5
San Fernando;Universidades;T47A;10;5:45:00 a. m.;Lunes;69;5
Unidad Deportiva;Meléndez;P21A;8;12:45:00 p. m.;Miércoles;63;3
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;18;5:15:00 a. m.;Domingo;37;3
Capri;San Fernando;T31;9;11:30:00 a. m.;Martes;68;3
Unidad Deportiva;Meléndez;P21A;10;2:00:00 p. m.;Domingo;84;5
San Fernando;Estadio;T47A;12;5:15:00 a. m.;Lunes;51;5
Capri;San Fernando;T31;11;9:30:00 a. m.;Lunes;14;5
Estadio;San Fernando;T47A;7;7:15:00 a. m.;Martes;54;0
Terminal Andrés Sanín;Centro;E21;9;3:15:00 p. m.;Viernes;34;1
Universidades;San Fernando;T47A;5;6:45:00 p. m.;Jueves;90;0
Universidades;San Fernando;T47A;8;10:30:00 p. m.;Lunes;76;3
Universidades;Meléndez;P21A;7;10:15:00 p. m.;Miércoles;67;3
Estadio;Capri;T31;9;10:45:00 p. m.;Domingo;44;5
Capri;Estadio;T31;6;2:30:00 p. m.;Miércoles;66;2
San Fernando;Capri;T31;11;10:15:00 p. m.;Sábado;29;5
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;15;12:30:00 p. m.;Miércoles;10;0
San Bosco;Centro;T50;5;8:00:00 a. m.;Viernes;45;0
San Bosco;Centro;T50;9;10:30:00 p. m.;Lunes;56;4
San Fernando;Universidades;T47A;6;5:00:00 p. m.;Martes;55;1
Centro;Capri;T31;15;7:30:00 p. m.;Jueves;57;5
Capri;Estadio;T31;4;5:00:00 p. m.;Domingo;29;0
San Bosco;Estadio;T50;11;4:00:00 p. m.;Domingo;28;5
Capri;Centro;T31;12;2:30:00 p. m.;Martes;97;2
Estadio;San Fernando;T47A;8;8:00:00 p. m.;Domingo;75;1
Centro;San Bosco;T50;7;7:45:00 p. m.;Miércoles;22;2
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;20;6:45:00 p. m.;Lunes;65;5
Capri;San Fernando;T31;9;8:45:00 p. m.;Domingo;86;3
Universidades;Meléndez;P21A;9;9:15:00 a. m.;Martes;94;5
Centro;San Bosco;T50;8;6:30:00 a. m.;Martes;59;3
Universidades;San Fernando;T47A;5;12:15:00 p. m.;Miércoles;45;0
Capri;San Fernando;T31;8;8:45:00 a. m.;Jueves;19;2
Capri;Centro;T31;14;9:45:00 p. m.;Viernes;35;4
Terminal Andrés Sanín;Centro;E21;13;11:45:00 a. m.;Lunes;61;5
Centro;Capri;T31;15;5:30:00 p. m.;Miércoles;63;5
Meléndez;Universidades;P21A;4;6:15:00 p. m.;Viernes;12;0
Centro;San Bosco;T50;10;10:00:00 p. m.;Viernes;73;5
Estadio;San Fernando;T47A;8;1:15:00 p. m.;Miércoles;32;1
Estadio;Capri;T31;6;7:30:00 a. m.;Sábado;36;2
Estadio;San Bosco;T50;6;11:15:00 a. m.;Domingo;66;0
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;20;7:30:00 p. m.;Lunes;100;5
Centro;Capri;T31;13;10:00:00 p. m.;Lunes;86;3
Centro;San Bosco;T50;9;5:15:00 p. m.;Sábado;76;4
Estadio;San Fernando;T47A;10;11:45:00 a. m.;Lunes;87;3
San Bosco;Estadio;T50;11;7:15:00 p. m.;Miércoles;18;5
Universidades;San Fernando;T47A;5;3:45:00 p. m.;Jueves;49;0
Meléndez;Universidades;P21A;4;7:15:00 a. m.;Domingo;40;0
Estadio;San Fernando;T47A;7;10:00:00 p. m.;Jueves;74;0
San Fernando;Capri;T31;8;5:30:00 a. m.;Martes;37;2
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;15;7:30:00 p. m.;Domingo;70;0
San Bosco;Estadio;T50;10;8:45:00 p. m.;Miércoles;18;4
Capri;Estadio;T31;7;12:30:00 p. m.;Sábado;21;3
San Fernando;Universidades;T47A;7;2:45:00 p. m.;Miércoles;36;2
Capri;Estadio;T31;4;7:45:00 a. m.;Jueves;90;0
Centro;Capri;T31;14;10:00:00 a. m.;Jueves;39;4
San Fernando;Capri;T31;9;4:00:00 p. m.;Lunes;29;3
San Bosco;Centro;T50;9;1:00:00 p. m.;Viernes;74;4
Estadio;San Bosco;T50;11;12:00:00 p. m.;Jueves;49;5
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;16;2:45:00 p. m.;Martes;39;1
Centro;Capri;T31;15;12:45:00 p. m.;Domingo;63;5
Centro;Terminal Andrés Sanín;E21;12;8:15:00 p. m.;Sábado;82;4
Capri;San Fernando;T31;9;8:45:00 p. m.;Lunes;56;3
San Bosco;Centro;T50;7;9:45:00 p. m.;Martes;61;2
Centro;Terminal Andrés Sanín;E21;13;8:45:00 a. m.;Miércoles;61;5
Estadio;San Fernando;T47A;10;12:00:00 p. m.;Martes;78;3
Capri;San Fernando;T31;7;2:45:00 p. m.;Viernes;77;1
Centro;Terminal Andrés Sanín;E21;10;5:00:00 a. m.;Jueves;43;2
Universidades;Meléndez;P21A;4;12:45:00 p. m.;Viernes;71;0
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;16;10:00:00 a. m.;Jueves;36;1
Meléndez;Unidad Deportiva;P21A;10;8:45:00 p. m.;Viernes;74;5
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;16;7:00:00 a. m.;Viernes;52;1
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;20;7:00:00 a. m.;Martes;86;5
Meléndez;Unidad Deportiva;P21A;6;8:15:00 p. m.;Martes;80;1
San Fernando;Universidades;T47A;8;3:00:00 p. m.;Domingo;95;3
San Fernando;Capri;T31;10;9:15:00 a. m.;Viernes;53;4
Centro;San Bosco;T50;10;6:30:00 a. m.;Miércoles;80;5
Capri;Centro;T31;13;7:30:00 a. m.;Domingo;20;3
Estadio;Capri;T31;4;3:45:00 p. m.;Sábado;59;0
Capri;Centro;T31;10;12:30:00 p. m.;Domingo;78;0
Meléndez;Universidades;P21A;9;5:45:00 a. m.;Martes;78;5
Estadio;Capri;T31;9;7:30:00 a. m.;Jueves;95;5
Capri;Centro;T31;12;1:00:00 p. m.;Viernes;61;2
Meléndez;Unidad Deportiva;P21A;9;7:15:00 a. m.;Miércoles;42;4
Meléndez;Universidades;P21A;7;7:30:00 p. m.;Lunes;33;3
Terminal Andrés Sanín;Centro;E21;8;3:45:00 p. m.;Lunes;29;0
Centro;Capri;T31;11;4:30:00 p. m.;Lunes;30;1
Universidades;San Fernando;T47A;5;8:45:00 a. m.;Lunes;19;0
Capri;Estadio;T31;9;6:30:00 a. m.;Miércoles;80;5
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;17;5:15:00 a. m.;Domingo;36;2
San Fernando;Universidades;T47A;10;7:45:00 p. m.;Domingo;18;5
San Bosco;Centro;T50;8;7:45:00 p. m.;Sábado;38;3
Centro;Capri;T31;12;11:00:00 a. m.;Viernes;41;2
Meléndez;Universidades;P21A;8;5:00:00 a. m.;Sábado;54;4
San Fernando;Capri;T31;6;7:15:00 p. m.;Sábado;40;0
Centro;Terminal Andrés Sanín;E21;11;4:00:00 p. m.;Domingo;77;3
Capri;San Fernando;T31;9;6:15:00 a. m.;Miércoles;39;3
San Bosco;Centro;T50;7;1:15:00 p. m.;Domingo;24;2
Terminal Andrés Sanín;Centro;E21;11;2:15:00 p. m.;Miércoles;68;3
San Fernando;Estadio;T47A;10;10:45:00 a. m.;Domingo;63;3
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;17;6:30:00 p. m.;Martes;37;2
Universidades;Meléndez;P21A;9;10:00:00 p. m.;Domingo;70;5
San Fernando;Capri;T31;9;8:00:00 a. m.;Viernes;30;3
Universidades;San Fernando;T47A;10;2:45:00 p. m.;Jueves;63;5
Unidad Deportiva;Meléndez;P21A;8;8:30:00 a. m.;Sábado;86;3
Centro;Capri;T31;10;7:30:00 a. m.;Viernes;96;0
San Fernando;Capri;T31;8;10:15:00 a. m.;Viernes;83;2
Meléndez;Universidades;P21A;4;5:30:00 a. m.;Lunes;15;0
Estadio;Capri;T31;6;3:15:00 p. m.;Sábado;94;2
Capri;Centro;T31;12;5:30:00 p. m.;Miércoles;73;2
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;18;1:45:00 p. m.;Sábado;19;3
Estadio;San Fernando;T47A;12;5:45:00 a. m.;Martes;93;5
San Fernando;Capri;T31;10;9:30:00 a. m.;Sábado;97;4
Universidades;San Fernando;T47A;6;7:00:00 p. m.;Sábado;41;1
Universidades;San Fernando;T47A;8;6:00:00 a. m.;Domingo;51;3
San Fernando;Universidades;T47A;10;9:30:00 p. m.;Domingo;95;5
Terminal Andrés Sanín;Centro;E21;13;10:15:00 p. m.;Viernes;62;5
San Fernando;Estadio;T47A;10;10:15:00 p. m.;Lunes;30;3
Meléndez;Universidades;P21A;4;7:30:00 a. m.;Lunes;27;0
San Fernando;Estadio;T47A;8;7:30:00 p. m.;Lunes;82;1
Meléndez;Universidades;P21A;6;7:15:00 a. m.;Lunes;32;2
Capri;San Fernando;T31;9;7:30:00 a. m.;Martes;67;3
Capri;Estadio;T31;8;5:00:00 p. m.;Domingo;52;4
Capri;Estadio;T31;7;10:15:00 a. m.;Lunes;66;3
Estadio;San Bosco;T50;8;8:00:00 p. m.;Domingo;85;2
Meléndez;Unidad Deportiva;P21A;9;12:15:00 p. m.;Jueves;65;4
Estadio;San Fernando;T47A;12;7:00:00 a. m.;Martes;83;5
Meléndez;Universidades;P21A;7;3:30:00 p. m.;Sábado;85;3
San Bosco;Centro;T50;9;5:45:00 p. m.;Martes;52;4
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;15;5:00:00 a. m.;Viernes;89;0
Universidades;San Fernando;T47A;5;8:00:00 a. m.;Sábado;65;0
Universidades;San Fernando;T47A;7;10:00:00 a. m.;Martes;57;2
Centro;San Bosco;T50;5;1:45:00 p. m.;Lunes;79;0
Capri;Centro;T31;15;9:45:00 a. m.;Jueves;27;5
Centro;San Bosco;T50;6;9:30:00 p. m.;Miércoles;45;1
Meléndez;Unidad Deportiva;P21A;8;11:15:00 a. m.;Viernes;72;3
San Bosco;Estadio;T50;6;11:45:00 a. m.;Miércoles;17;0
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;15;9:30:00 a. m.;Domingo;64;0
San Bosco;Estadio;T50;8;7:30:00 p. m.;Sábado;91;2
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;17;8:00:00 p. m.;Miércoles;45;2
San Bosco;Centro;T50;6;2:15:00 p. m.;Lunes;48;1
Meléndez;Unidad Deportiva;P21A;5;7:45:00 a. m.;Sábado;97;0
Universidades;Meléndez;P21A;7;3:30:00 p. m.;Lunes;73;3
Estadio;Capri;T31;8;10:30:00 p. m.;Lunes;35;4
San Fernando;Universidades;T47A;5;6:00:00 p. m.;Martes;37;0
Meléndez;Unidad Deportiva;P21A;5;10:15:00 p. m.;Jueves;92;0
Universidades;San Fernando;T47A;8;11:30:00 a. m.;Lunes;23;3
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;18;9:00:00 a. m.;Lunes;43;3
Terminal Andrés Sanín;Centro;E21;13;9:45:00 a. m.;Sábado;59;5
Centro;San Bosco;T50;10;10:45:00 a. m.;Lunes;75;5
San Fernando;Universidades;T47A;9;5:45:00 a. m.;Martes;46;4
Universidades;Meléndez;P21A;5;7:15:00 p. m.;Domingo;56;1
Meléndez;Universidades;P21A;9;10:15:00 a. m.;Martes;99;5
Universidades;Meléndez;P21A;6;10:15:00 a. m.;Domingo;55;2
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;19;2:45:00 p. m.;Viernes;81;4
San Fernando;Estadio;T47A;10;9:15:00 a. m.;Viernes;37;3
San Fernando;Estadio;T47A;9;7:30:00 p. m.;Lunes;40;2
Meléndez;Universidades;P21A;9;12:45:00 p. m.;Sábado;72;5
Estadio;San Bosco;T50;11;7:15:00 a. m.;Jueves;57;5
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;15;7:15:00 a. m.;Sábado;35;0
San Fernando;Estadio;T47A;10;3:15:00 p. m.;Martes;35;3
Capri;San Fernando;T31;8;5:30:00 a. m.;Viernes;12;2
Unidad Deportiva;Meléndez;P21A;9;9:45:00 a. m.;Viernes;80;4
San Bosco;Estadio;T50;10;9:15:00 p. m.;Martes;71;4
Estadio;Capri;T31;7;5:30:00 p. m.;Sábado;41;3
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;17;11:00:00 a. m.;Viernes;30;2
Capri;Centro;T31;10;12:00:00 p. m.;Lunes;11;0
Estadio;San Fernando;T47A;8;5:45:00 p. m.;Domingo;51;1
San Fernando;Capri;T31;11;9:00:00 p. m.;Sábado;54;5
Meléndez;Unidad Deportiva;P21A;6;6:45:00 p. m.;Jueves;79;1
Terminal Andrés Sanín;Centro;E21;11;3:15:00 p. m.;Jueves;31;3
San Fernando;Estadio;T47A;9;6:15:00 p. m.;Sábado;78;2
San Bosco;Centro;T50;7;3:45:00 p. m.;Viernes;35;2
Estadio;Capri;T31;7;6:30:00 a. m.;Jueves;53;3
Capri;Estadio;T31;9;6:45:00 a. m.;Lunes;27;5
San Bosco;Centro;T50;7;1:00:00 p. m.;Viernes;26;2
Centro;Capri;T31;15;5:00:00 a. m.;Viernes;53;5
San Fernando;Capri;T31;10;7:00:00 p. m.;Miércoles;25;4
Terminal Andrés Sanín;Centro;E21;10;12:00:00 p. m.;Sábado;42;2
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;20;7:15:00 a. m.;Sábado;19;5
San Fernando;Capri;T31;7;9:15:00 p. m.;Lunes;64;1
Capri;San Fernando;T31;6;3:45:00 p. m.;Jueves;63;0
Capri;San Fernando;T31;7;3:30:00 p. m.;Sábado;39;1
Terminal Andrés Sanín;Centro;E21;9;11:45:00 a. m.;Lunes;70;1
Meléndez;Universidades;P21A;9;7:30:00 p. m.;Viernes;36;5
San Bosco;Centro;T50;9;11:30:00 a. m.;Jueves;80;4
Estadio;Capri;T31;7;7:00:00 p. m.;Jueves;62;3
Capri;Estadio;T31;9;12:15:00 p. m.;Miércoles;40;5
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;19;5:15:00 a. m.;Martes;35;4
Unidad Deportiva;Meléndez;P21A;9;6:00:00 a. m.;Miércoles;60;4
San Bosco;Centro;T50;6;3:00:00 p. m.;Lunes;15;1
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;17;6:45:00 p. m.;Lunes;44;2
San Bosco;Estadio;T50;7;6:15:00 a. m.;Lunes;61;1
Terminal Andrés Sanín;Centro;E21;10;8:45:00 a. m.;Miércoles;36;2
San Bosco;Centro;T50;6;6:45:00 a. m.;Sábado;79;1
San Bosco;Centro;T50;5;5:30:00 a. m.;Miércoles;63;0
Meléndez;Unidad Deportiva;P21A;6;2:45:00 p. m.;Lunes;31;1
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;19;10:00:00 a. m.;Viernes;64;4
Terminal Andrés Sanín;Centro;E21;8;4:30:00 p. m.;Martes;67;0
Capri;Estadio;T31;7;8:00:00 a. m.;Martes;37;3
Estadio;Capri;T31;8;8:45:00 p. m.;Miércoles;40;4
Centro;San Bosco;T50;9;7:45:00 a. m.;Sábado;83;4
Universidades;San Fernando;T47A;10;1:00:00 p. m.;Viernes;26;5
Estadio;San Bosco;T50;11;7:45:00 a. m.;Domingo;84;5
Capri;San Fernando;T31;9;6:45:00 p. m.;Lunes;23;3
Centro;Capri;T31;12;7:45:00 a. m.;Jueves;39;2
Meléndez;Unidad Deportiva;P21A;7;10:00:00 p. m.;Lunes;92;2
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;17;9:00:00 a. m.;Martes;65;2
Unidad Deportiva;Meléndez;P21A;6;2:45:00 p. m.;Jueves;84;1
Centro;Capri;T31;14;5:30:00 p. m.;Lunes;76;4
San Fernando;Estadio;T47A;8;5:30:00 p. m.;Lunes;22;1
Estadio;San Bosco;T50;6;6:00:00 a. m.;Viernes;73;0
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;16;11:45:00 a. m.;Miércoles;44;1
Unidad Deportiva;Meléndez;P21A;9;12:15:00 p. m.;Domingo;33;4
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;17;3:45:00 p. m.;Martes;79;2
Capri;San Fernando;T31;6;12:30:00 p. m.;Jueves;38;0
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;19;3:00:00 p. m.;Viernes;60;4
Estadio;San Bosco;T50;7;10:45:00 p. m.;Miércoles;34;1
Estadio;San Fernando;T47A;7;6:15:00 a. m.;Miércoles;62;0
Centro;San Bosco;T50;5;5:00:00 p. m.;Domingo;32;0
Centro;Capri;T31;11;6:30:00 a. m.;Lunes;44;1
Capri;San Fernando;T31;9;11:30:00 a. m.;Jueves;94;3
Estadio;Capri;T31;4;2:15:00 p. m.;Miércoles;26;0
Centro;San Bosco;T50;7;8:30:00 a. m.;Domingo;11;2
Estadio;San Bosco;T50;10;2:45:00 p. m.;Jueves;31;4
San Fernando;Universidades;T47A;10;10:15:00 a. m.;Lunes;77;5
Estadio;San Bosco;T50;7;8:45:00 a. m.;Martes;39;1
San Bosco;Estadio;T50;7;8:45:00 p. m.;Domingo;56;1
Estadio;Capri;T31;8;9:15:00 a. m.;Sábado;67;4
San Bosco;Estadio;T50;7;5:45:00 a. m.;Viernes;35;1
Centro;Terminal Andrés Sanín;E21;13;5:45:00 a. m.;Miércoles;68;5
Terminal Andrés Sanín;Centro;E21;10;12:15:00 p. m.;Lunes;51;2
San Bosco;Centro;T50;7;8:00:00 a. m.;Lunes;14;2
San Fernando;Capri;T31;7;6:00:00 a. m.;Viernes;71;1
Centro;Terminal Andrés Sanín;E21;8;9:45:00 p. m.;Domingo;30;0
San Fernando;Estadio;T47A;11;7:15:00 p. m.;Domingo;46;4
Centro;Capri;T31;12;9:30:00 p. m.;Jueves;82;2
Universidades;San Fernando;T47A;6;1:00:00 p. m.;Martes;84;1
San Fernando;Universidades;T47A;8;3:15:00 p. m.;Lunes;87;3
San Fernando;Universidades;T47A;8;6:15:00 p. m.;Martes;29;3
Universidades;Meléndez;P21A;9;5:15:00 a. m.;Jueves;61;5
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;15;11:30:00 a. m.;Domingo;19;0
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;16;8:45:00 p. m.;Miércoles;30;1
